timestamp,sensor_id,air_temperature,late

# Window 2023-01-01 10:00:00 - 2023-01-01 10:00:59
2023-01-01 10:00:00,sensor-1,19.8,null
2023-01-01 10:00:05,sensor-1,20.0,null
2023-01-01 10:00:10,sensor-2,21.0,null
2023-01-01 10:00:11,sensor-3,20.0,null
2023-01-01 10:00:12,sensor-4,21.0,null
2023-01-01 10:00:13,sensor-5,20.0,null
2023-01-01 10:00:14,sensor-6,21.0,null

# Window 2023-01-01 10:01:00 - 2023-01-01 10:01:59
# 2023-01-01 10:01:05,sensor-1,20.2,null
2023-01-01 10:01:10,sensor-2,21.2,null
2023-01-01 10:01:11,sensor-3,20.2,null
2023-01-01 10:01:12,sensor-4,21.2,null
2023-01-01 10:01:13,sensor-5,20.2,null
2023-01-01 10:01:14,sensor-6,21.2,null

# Window 2023-01-01 10:02:00 - 2023-01-01 10:02:59
# 2023-01-01 10:02:05,sensor-1,20.4,null
# 2023-01-01 10:02:10,sensor-2,21.4,null
2023-01-01 10:02:11,sensor-3,20.4,null
2023-01-01 10:02:12,sensor-4,21.4,null
2023-01-01 10:02:13,sensor-5,20.4,null
2023-01-01 10:02:14,sensor-6,21.4,null

# Window 2023-01-01 10:03:00 - 2023-01-01 10:03:59
# 2023-01-01 10:03:05,sensor-1,20.1,null
2023-01-01 10:03:10,sensor-2,21.1,null
2023-01-01 10:03:11,sensor-3,20.1,null
2023-01-01 10:03:12,sensor-4,21.1,null
2023-01-01 10:03:13,sensor-5,20.1,null
2023-01-01 10:03:14,sensor-6,21.1,null
